"OBJECTID,N,10,0","SOVEREIGNT,C,80","TYPE_,C,80","COUNTRY,C,80","FIRST_OFFI,C,80","SECOND_OFF,C,80","THIRD_OFFI,C,80","ENGLISH_FI,N,10,0","FRENCH_FIR,N,10,0","ARABIC_FIR,N,10,0","SPANISH_FI,N,10,0","PORTUGUESE,N,10,0","CHINESE_FI,N,10,0","RUSSIAN_FI,N,10,0","WORLD_LANG,C,80"
"30","Afghanistan","Sovereign country","Afghanistan","Persian","Pashto","Dari","0","0","0","0","0","0","0","Other"
"34","Finland","Country","Aland","Finnish","Swedish","","0","0","0","0","0","0","0","Other"
"33","Albania","Sovereign country","Albania","Albanian","","","0","0","0","0","0","0","0","Other"
"67","Algeria","Sovereign country","Algeria","Arabic","French","","0","1","1","0","0","0","0","French_Arabic"
"39","United States of America","Dependency","American Samoa","Samoan","English","","1","0","0","0","0","0","0","English"
"35","Andorra","Sovereign country","Andorra","Catalan","","","0","0","0","0","0","0","0","Other"
"31","Angola","Sovereign country","Angola","Portuguese","","","0","0","0","0","1","0","0","Portuguese"
"32","United Kingdom","Dependency","Anguilla","English","","","1","0","0","0","0","0","0","English"
"40","Antigua and Barbuda","Sovereign country","Antigua and Barbuda","English","","","1","0","0","0","0","0","0","English"
"37","Argentina","Sovereign country","Argentina","Spanish","","","0","0","0","1","0","0","0","Spanish"
"38","Armenia","Sovereign country","Armenia","Armenian","","","0","0","0","0","0","0","0","Other"
"29","Netherlands","Country","Aruba","Dutch","","","0","0","0","0","0","0","0","Other"
"41","Australia","Country","Australia","English","","","1","0","0","0","0","0","0","English"
"42","Austria","Sovereign country","Austria","German","","","0","0","0","0","0","0","0","Other"
"43","Azerbaijan","Sovereign country","Azerbaijan","Azerbaijani","","","0","0","0","0","0","0","0","Other"
"2","Bahrain","Sovereign country","Bahrain","Arabic","","","0","0","1","0","0","0","0","Other"
"48","Bangladesh","Sovereign country","Bangladesh","Bengali","","","0","0","0","0","0","0","0","Other"
"10","Barbados","Sovereign country","Barbados","English","","","1","0","0","0","0","0","0","English"
"5","Belarus","Sovereign country","Belarus","Russian","Belarusian","","0","0","0","0","0","0","1","Russian"
"45","Belgium","Sovereign country","Belgium","Dutch","French","German","0","1","0","0","0","0","0","French"
"6","Belize","Sovereign country","Belize","English","","","1","0","0","0","0","0","0","English"
"46","Benin","Sovereign country","Benin","French","","","0","1","0","0","0","0","0","French"
"7","United Kingdom","Dependency","Bermuda","English","","","1","0","0","0","0","0","0","English"
"19","Bhutan","Sovereign country","Bhutan","Dzongkha","","","0","0","0","0","0","0","0","Other"
"8","Bolivia","Sovereign country","Bolivia","Spanish","Quechua","Indigenous","0","0","0","1","0","0","0","Spanish"
"3","Bosnia and Herzegovina","Sovereign country","Bosnia and Herzegovina","Bosnian","Croatian","Serbian","0","0","0","0","0","0","0","Other"
"20","Botswana","Sovereign country","Botswana","English","","","1","0","0","0","0","0","0","English"
"9","Brazil","Sovereign country","Brazil","Portuguese","","","0","0","0","0","1","0","0","Portuguese"
"104","United Kingdom","Dependency","British Indian Ocean Territory","English","","","1","0","0","0","0","0","0","English"
"232","United Kingdom","Dependency","British Virgin Islands","English","","","1","0","0","0","0","0","0","English"
"11","Brunei","Sovereign country","Brunei","Malay","","","0","0","0","0","0","0","0","Other"
"1","Bulgaria","Sovereign country","Bulgaria","Bulgarian","","","0","0","0","0","0","0","0","Other"
"47","Burkina Faso","Sovereign country","Burkina Faso","French","","","0","1","0","0","0","0","0","French"
"44","Burundi","Sovereign country","Burundi","Kirundi","French","","0","1","0","0","0","0","0","French"
"55","Cambodia","Sovereign country","Cambodia","Khmer","","","0","0","0","0","0","0","0","Other"
"28","Cameroon","Sovereign country","Cameroon","English","French","","1","1","0","0","0","0","0","English_French"
